item;n_audios;fpjt_image;correct_both;correct_one;a2;a3;a4;a5;a6;a7;n_audio_false;bodypart_false
FPJT31;4;31.jpg;s;g;head;arm;leg;none;none;none;1;head
FPJT32;4;32.jpg;s;g;leg;torso;arm;none;none;none;2;torso
FPJT33;4;33.jpg;s;g;arm;leg;head;none;none;none;2;left_leg
FPJT34;4;34.jpg;l;h;leg;torso;arm;none;none;none;0;none
FPJT35;4;35.jpg;l;h;arm;head;leg;none;none;none;0;none
FPJT36;4;36.jpg;s;g;torso;leg;arm;none;none;none;3;right_arm
FPJT37;4;37.jpg;l;h;head;arm;leg;none;none;none;0;none
FPJT38;4;38.jpg;l;h;torso;leg;arm;none;none;none;0;none
FPJT41;5;41.jpg;l;h;leg;torso;arm;head;none;none;0;none
FPJT42;5;42.jpg;l;h;leg;torso;arm;head;none;none;0;none
FPJT43;5;43.jpg;s;g;leg;torso;head;arm;none;none;3;head
FPJT44;5;44.jpg;l;h;leg;torso;head;arm;none;none;0;none
FPJT45;5;45.jpg;s;g;torso;arm;leg;head;none;none;2;left_arm
FPJT46;5;46.jpg;s;g;torso;head;leg;arm;none;none;1;torso
FPJT47;5;47.jpg;l;h;torso;leg;head;arm;none;none;0;none
FPJT48;5;48.jpg;s;g;torso;head;arm;leg;none;none;4;left_leg
FPJT51;6;51.jpg;l;h;torso;head;leg;arm;arm;none;0;none
FPJT52;6;52.jpg;s;g;torso;arm;leg;head;arm;none;5;right_arm
FPJT53;6;53.jpg;s;g;leg;torso;head;arm;leg;none;3;head
FPJT54;6;54.jpg;l;h;leg;leg;torso;arm;head;none;0;none
FPJT55;6;55.jpg;l;h;leg;head;torso;leg;arm;none;0;none
FPJT56;6;56.jpg;s;g;torso;arm;head;leg;leg;none;5;right_leg
FPJT57;6;57.jpg;l;h;leg;torso;arm;arm;head;none;0;none
FPJT58;6;58.jpg;s;g;leg;torso;arm;head;arm;none;2;torso
FPJT61;7;61.jpg;s;g;torso;head;leg;arm;leg;arm;2;head
FPJT62;7;62.jpg;l;h;torso;head;arm;arm;leg;leg;0;none
FPJT63;7;63.jpg;l;h;leg;leg;torso;head;arm;arm;0;none
FPJT64;7;64.jpg;s;g;leg;leg;torso;arm;head;arm;4;right_arm
FPJT65;7;65.jpg;l;h;leg;torso;arm;leg;arm;head;0;none
FPJT66;7;66.jpg;s;g;leg;torso;head;arm;arm;leg;6;right_leg
FPJT67;7;67.jpg;l;h;leg;torso;leg;arm;arm;head;0;none
FPJT68;7;68.jpg;s;g;leg;leg;torso;arm;head;arm;3;torso
